Series;Time;Value
Mu;2018-05-13T23:59:30+02:00;24.6209
Mu;2018-05-14T00:00:30+02:00;24.5942
Mu;2018-05-14T00:01:30+02:00;24.5597
Mu;2018-05-14T00:02:30+02:00;24.525
Mu;2018-05-14T00:03:30+02:00;24.4918
Mu;2018-05-14T00:04:30+02:00;24.4584
Mu;2018-05-14T00:05:30+02:00;24.4255
Mu;2018-05-14T00:06:30+02:00;24.3921
Mu;2018-05-14T00:07:30+02:00;24.3612
Mu;2018-05-14T00:08:30+02:00;24.3256
Mu;2018-05-14T00:09:30+02:00;24.2911
Mu;2018-05-14T00:10:30+02:00;24.2608
Mu;2018-05-14T00:11:30+02:00;24.2249
Mu;2018-05-14T00:12:30+02:00;24.1854
Mu;2018-05-14T00:13:30+02:00;24.1487
Mu;2018-05-14T00:14:30+02:00;24.119
Mu;2018-05-14T00:15:30+02:00;24.0807
Mu;2018-05-14T00:16:30+02:00;24.0443
Mu;2018-05-14T00:17:30+02:00;24.0134
Mu;2018-05-14T00:18:30+02:00;23.9849
Mu;2018-05-14T00:19:30+02:00;23.9553
Mu;2018-05-14T00:20:30+02:00;23.9218
Mu;2018-05-14T00:21:30+02:00;23.8904
Mu;2018-05-14T00:22:30+02:00;23.8575
Mu;2018-05-14T00:23:30+02:00;23.8161
Mu;2018-05-14T00:24:30+02:00;23.7583
Mu;2018-05-14T00:25:30+02:00;23.7201
Mu;2018-05-14T00:26:30+02:00;23.6871
Mu;2018-05-14T00:27:30+02:00;23.6513
Mu;2018-05-14T00:28:30+02:00;23.6164
Mu;2018-05-14T00:29:30+02:00;23.5921
Mu;2018-05-14T00:30:30+02:00;23.5623
Mu;2018-05-14T00:31:30+02:00;23.5289
Mu;2018-05-14T00:32:30+02:00;23.4941
Mu;2018-05-14T00:33:30+02:00;23.4557
Mu;2018-05-14T00:34:30+02:00;23.4252
Mu;2018-05-14T00:35:30+02:00;23.3928
Mu;2018-05-14T00:36:30+02:00;23.3607
Mu;2018-05-14T00:37:30+02:00;23.333
Mu;2018-05-14T00:38:30+02:00;23.3007
Mu;2018-05-14T00:39:30+02:00;23.2685
Mu;2018-05-14T00:40:30+02:00;23.2395
Mu;2018-05-14T00:41:30+02:00;23.2072
Mu;2018-05-14T00:42:30+02:00;23.1724
Mu;2018-05-14T00:43:30+02:00;23.1391
Mu;2018-05-14T00:44:30+02:00;23.107
Mu;2018-05-14T00:45:30+02:00;23.0742
Mu;2018-05-14T00:46:30+02:00;23.0423
Mu;2018-05-14T00:47:30+02:00;23.0078
Mu;2018-05-14T00:48:30+02:00;22.9734
Mu;2018-05-14T00:49:30+02:00;22.9435
Mu;2018-05-14T00:50:30+02:00;22.9003
Mu;2018-05-14T00:51:30+02:00;22.7445
Mu;2018-05-14T00:52:30+02:00;22.3333
Mu;2018-05-14T00:53:30+02:00;22.2168
Mu;2018-05-14T00:54:30+02:00;22.6516
Mu;2018-05-14T00:55:30+02:00;22.7871
Mu;2018-05-14T00:56:30+02:00;22.7724
Mu;2018-05-14T00:57:30+02:00;22.7385
Mu;2018-05-14T00:58:30+02:00;22.7037
Mu;2018-05-14T00:59:30+02:00;22.6777
Mu;2018-05-14T01:00:30+02:00;22.6497
Mu;2018-05-14T01:01:30+02:00;22.6186
Mu;2018-05-14T01:02:30+02:00;22.5844
Mu;2018-05-14T01:03:30+02:00;22.5535
Mu;2018-05-14T01:04:30+02:00;22.5252
Mu;2018-05-14T01:05:30+02:00;22.495
Mu;2018-05-14T01:06:30+02:00;22.4602
Mu;2018-05-14T01:07:30+02:00;22.4229
Mu;2018-05-14T01:08:30+02:00;22.3884
Mu;2018-05-14T01:09:30+02:00;22.3582
Mu;2018-05-14T01:10:30+02:00;22.3321
Mu;2018-05-14T01:11:30+02:00;22.3041
Mu;2018-05-14T01:12:30+02:00;22.2732
Mu;2018-05-14T01:13:30+02:00;22.2424
Mu;2018-05-14T01:14:30+02:00;22.2117
Mu;2018-05-14T01:15:30+02:00;22.1797
Mu;2018-05-14T01:16:30+02:00;22.1465
Mu;2018-05-14T01:17:30+02:00;22.1137
Mu;2018-05-14T01:18:30+02:00;22.084
Mu;2018-05-14T01:19:30+02:00;22.05
Mu;2018-05-14T01:20:30+02:00;22.0129
Mu;2018-05-14T01:21:30+02:00;21.9877
Mu;2018-05-14T01:22:30+02:00;21.9655
Mu;2018-05-14T01:23:30+02:00;21.9349
Mu;2018-05-14T01:24:30+02:00;21.9007
Mu;2018-05-14T01:25:30+02:00;21.872
Mu;2018-05-14T01:26:30+02:00;21.8447
Mu;2018-05-14T01:27:30+02:00;21.8146
Mu;2018-05-14T01:28:30+02:00;21.7842
Mu;2018-05-14T01:29:30+02:00;21.754
Mu;2018-05-14T01:30:30+02:00;21.7255
Mu;2018-05-14T01:31:30+02:00;21.6974
Mu;2018-05-14T01:32:30+02:00;21.6653
Mu;2018-05-14T01:33:30+02:00;21.6318
Mu;2018-05-14T01:34:30+02:00;21.6009
Mu;2018-05-14T01:35:30+02:00;21.5718
Mu;2018-05-14T01:36:30+02:00;21.5394
Mu;2018-05-14T01:37:30+02:00;21.5028
Mu;2018-05-14T01:38:30+02:00;21.4691
Mu;2018-05-14T01:39:30+02:00;21.4419
Mu;2018-05-14T01:40:30+02:00;21.4187
Mu;2018-05-14T01:41:30+02:00;21.3924
Mu;2018-05-14T01:42:30+02:00;21.3674
Mu;2018-05-14T01:43:30+02:00;21.343
Mu;2018-05-14T01:44:30+02:00;21.313
Mu;2018-05-14T01:45:30+02:00;21.2822
Mu;2018-05-14T01:46:30+02:00;21.2518
Mu;2018-05-14T01:47:30+02:00;21.2237
Mu;2018-05-14T01:48:30+02:00;21.197
Mu;2018-05-14T01:49:30+02:00;21.1669
Mu;2018-05-14T01:50:30+02:00;21.1347
Mu;2018-05-14T01:51:30+02:00;21.1054
Mu;2018-05-14T01:52:30+02:00;21.0771
Mu;2018-05-14T01:53:30+02:00;21.0453
Mu;2018-05-14T01:54:30+02:00;21.012
Mu;2018-05-14T01:55:30+02:00;20.9844
Mu;2018-05-14T01:56:30+02:00;20.9566
Mu;2018-05-14T01:57:30+02:00;20.9234
Mu;2018-05-14T01:58:30+02:00;20.8889
Mu;2018-05-14T01:59:30+02:00;20.8606
Mu;2018-05-14T02:00:30+02:00;20.8428
Mu;2018-05-14T02:01:30+02:00;20.8241
Mu;2018-05-14T02:02:30+02:00;20.7843
Mu;2018-05-14T02:03:30+02:00;20.625
Mu;2018-05-14T02:04:30+02:00;20.3266
Mu;2018-05-14T02:05:30+02:00;19.983
Mu;2018-05-14T02:06:30+02:00;17.2793
Mu;2018-05-14T02:07:30+02:00;10.4003
Mu;2018-05-14T02:08:30+02:00;13.7552
Mu;2018-05-14T02:09:30+02:00;7.34017
Mu;2018-05-14T02:10:30+02:00;11.3929
Mu;2018-05-14T02:11:30+02:00;14.1104
Mu;2018-05-14T02:12:30+02:00;11.6227
Mu;2018-05-14T02:13:30+02:00;18.488
Mu;2018-05-14T02:14:30+02:00;20.4204
Mu;2018-05-14T02:15:30+02:00;20.5122
Mu;2018-05-14T02:16:30+02:00;20.4854
Mu;2018-05-14T02:17:30+02:00;20.4736
Mu;2018-05-14T02:18:30+02:00;20.4473
Mu;2018-05-14T02:19:30+02:00;20.4045
Mu;2018-05-14T02:20:30+02:00;20.3716
Mu;2018-05-14T02:21:30+02:00;20.3443
Mu;2018-05-14T02:22:30+02:00;20.3193
