Series;Time;Value
Mu;2018-06-03T23:59:00+02:00;0.000391206
Mu;2018-06-04T00:05:30+02:00;0.000296933
Mu;2018-06-04T00:06:30+02:00;0.000296587
Mu;2018-06-04T00:07:30+02:00;0.000296329
Mu;2018-06-04T00:08:30+02:00;0.00029643
Mu;2018-06-04T00:09:30+02:00;0.00029643
Mu;2018-06-04T00:10:30+02:00;0.000296376
Mu;2018-06-04T00:11:30+02:00;0.000296484
Mu;2018-06-04T00:12:30+02:00;0.000296645
Mu;2018-06-04T00:13:30+02:00;0.000296564
Mu;2018-06-04T00:14:30+02:00;0.000296523
Mu;2018-06-04T00:15:30+02:00;0.000296513
Mu;2018-06-04T00:16:30+02:00;0.000296522
Mu;2018-06-04T00:17:30+02:00;0.000296406
Mu;2018-06-04T00:18:30+02:00;0.000296508
Mu;2018-06-04T00:19:30+02:00;0.000296162
Mu;2018-06-04T00:20:30+02:00;0.000295721
Mu;2018-06-04T00:21:30+02:00;0.000295474
Mu;2018-06-04T00:22:30+02:00;0.000295486
Mu;2018-06-04T00:23:30+02:00;0.000295899
Mu;2018-06-04T00:24:30+02:00;0.000295522
Mu;2018-06-04T00:25:30+02:00;0.000295227
Mu;2018-06-04T00:26:30+02:00;0.000295553
Mu;2018-06-04T00:27:30+02:00;0.000295995
Mu;2018-06-04T00:28:30+02:00;0.000295795
Mu;2018-06-04T00:29:30+02:00;0.000295498
Mu;2018-06-04T00:30:30+02:00;0.000295681
Mu;2018-06-04T00:31:30+02:00;0.000295695
Mu;2018-06-04T00:32:30+02:00;0.000295705
Mu;2018-06-04T00:33:30+02:00;0.000295634
Mu;2018-06-04T00:34:30+02:00;0.000295352
Mu;2018-06-04T00:35:30+02:00;0.000295597
Mu;2018-06-04T00:36:30+02:00;0.00029563
Mu;2018-06-04T00:37:30+02:00;0.000295176
Mu;2018-06-04T00:38:30+02:00;0.00029496
Mu;2018-06-04T00:39:30+02:00;0.00029531
Mu;2018-06-04T00:40:30+02:00;0.000295565
Mu;2018-06-04T00:41:30+02:00;0.000295295
Mu;2018-06-04T00:42:30+02:00;0.00029557
Mu;2018-06-04T00:43:30+02:00;0.00029551
Mu;2018-06-04T00:44:30+02:00;0.00029527
Mu;2018-06-04T00:45:30+02:00;0.000295393
Mu;2018-06-04T00:46:30+02:00;0.000295464
Mu;2018-06-04T00:47:30+02:00;0.000295666
Mu;2018-06-04T00:48:30+02:00;0.000295656
Mu;2018-06-04T00:49:30+02:00;0.000295188
Mu;2018-06-04T00:50:30+02:00;0.000294883
Mu;2018-06-04T00:51:30+02:00;0.000294791
Mu;2018-06-04T00:52:30+02:00;0.000295097
Mu;2018-06-04T00:53:30+02:00;0.000295677
Mu;2018-06-04T00:54:30+02:00;0.00029538
Mu;2018-06-04T00:55:30+02:00;0.000294953
Mu;2018-06-04T00:56:30+02:00;0.000295065
Mu;2018-06-04T00:57:30+02:00;0.000295351
Mu;2018-06-04T00:58:30+02:00;0.000295624
Mu;2018-06-04T00:59:30+02:00;0.000295364
Mu;2018-06-04T01:00:30+02:00;0.000295416
Mu;2018-06-04T01:01:30+02:00;0.000295253
Mu;2018-06-04T01:02:30+02:00;0.000295239
Mu;2018-06-04T01:03:30+02:00;0.000295118
Mu;2018-06-04T01:04:30+02:00;0.000294745
Mu;2018-06-04T01:05:30+02:00;0.00029461
Mu;2018-06-04T01:06:30+02:00;0.000294928
Mu;2018-06-04T01:07:30+02:00;0.000294996
Mu;2018-06-04T01:08:30+02:00;0.00029496
Mu;2018-06-04T01:09:30+02:00;0.000294669
Mu;2018-06-04T01:10:30+02:00;0.000294697
Mu;2018-06-04T01:11:30+02:00;0.000294353
Mu;2018-06-04T01:12:30+02:00;0.000294491
Mu;2018-06-04T01:13:30+02:00;0.000294922
Mu;2018-06-04T01:14:30+02:00;0.000294705
Mu;2018-06-04T01:15:30+02:00;0.000294468
Mu;2018-06-04T01:16:30+02:00;0.000294439
Mu;2018-06-04T01:17:30+02:00;0.000294566
Mu;2018-06-04T01:18:30+02:00;0.000295091
Mu;2018-06-04T01:19:30+02:00;0.000295262
Mu;2018-06-04T01:20:30+02:00;0.000294767
Mu;2018-06-04T01:21:30+02:00;0.000295086
Mu;2018-06-04T01:22:30+02:00;0.000295666
Mu;2018-06-04T01:23:30+02:00;0.0002957
Mu;2018-06-04T01:24:30+02:00;0.000295172
Mu;2018-06-04T01:25:30+02:00;0.000295016
Mu;2018-06-04T01:26:30+02:00;0.000294913
Mu;2018-06-04T01:27:30+02:00;0.000294607
Mu;2018-06-04T01:28:30+02:00;0.00029457
Mu;2018-06-04T01:29:30+02:00;0.000294917
Mu;2018-06-04T01:30:30+02:00;0.000294417
Mu;2018-06-04T01:31:30+02:00;0.000294427
Mu;2018-06-04T01:32:30+02:00;0.000294347
Mu;2018-06-04T01:33:30+02:00;0.000294292
Mu;2018-06-04T01:34:30+02:00;0.000294864
Mu;2018-06-04T01:35:30+02:00;0.000295173
Mu;2018-06-04T01:36:30+02:00;0.000295306
Mu;2018-06-04T01:37:30+02:00;0.000295302
Mu;2018-06-04T01:38:30+02:00;0.000295272
Mu;2018-06-04T03:54:30+02:00;0.00029096
Mu;2018-06-04T03:55:30+02:00;0.00029096
Mu;2018-06-04T03:56:30+02:00;0.000291211
Mu;2018-06-04T03:57:30+02:00;0.000291748
Mu;2018-06-04T03:58:30+02:00;0.000291607
Mu;2018-06-04T03:59:30+02:00;0.000291356
Mu;2018-06-04T04:00:30+02:00;0.000291365
Mu;2018-06-04T04:01:30+02:00;0.00029089
Mu;2018-06-04T04:02:30+02:00;0.00029076
Mu;2018-06-04T04:03:30+02:00;0.000290894
Mu;2018-06-04T04:04:30+02:00;0.000290726
Mu;2018-06-04T04:05:30+02:00;0.000290901
Mu;2018-06-04T04:06:30+02:00;0.00029076
Mu;2018-06-04T04:07:30+02:00;0.00029099
Mu;2018-06-04T04:08:30+02:00;0.000291187
Mu;2018-06-04T04:09:30+02:00;0.000290933
Mu;2018-06-04T04:10:30+02:00;0.00029098
Mu;2018-06-04T04:11:30+02:00;0.000291235
Mu;2018-06-04T04:12:30+02:00;0.000291352
Mu;2018-06-04T04:13:30+02:00;0.000291449
Mu;2018-06-04T04:14:30+02:00;0.000291416
Mu;2018-06-04T04:15:30+02:00;0.000291563
Mu;2018-06-04T04:16:30+02:00;0.000291142
Mu;2018-06-04T04:17:30+02:00;0.000291849
Mu;2018-06-04T04:18:30+02:00;0.0002924
Mu;2018-06-04T04:19:30+02:00;0.000292683
Mu;2018-06-04T04:20:30+02:00;0.000292052
Mu;2018-06-04T04:21:30+02:00;0.000292585
Mu;2018-06-04T04:22:30+02:00;0.000293604
Mu;2018-06-04T04:23:30+02:00;0.000293994
Mu;2018-06-04T04:24:30+02:00;0.000294147
Mu;2018-06-04T04:25:30+02:00;0.000294609
Mu;2018-06-04T04:26:30+02:00;0.000295207
Mu;2018-06-04T04:27:30+02:00;0.000295469
Mu;2018-06-04T04:28:30+02:00;0.00029522
Mu;2018-06-04T04:29:30+02:00;0.000295326
Mu;2018-06-04T04:30:30+02:00;0.000295776
Mu;2018-06-04T04:31:30+02:00;0.000296502
Mu;2018-06-04T04:32:30+02:00;0.000296637
Mu;2018-06-04T04:33:30+02:00;0.000296924
Mu;2018-06-04T04:34:30+02:00;0.000296971
Mu;2018-06-04T04:35:30+02:00;0.00029683
Mu;2018-06-04T04:36:30+02:00;0.000297318
Mu;2018-06-04T04:37:30+02:00;0.00029805
Mu;2018-06-04T04:38:30+02:00;0.000298025
Mu;2018-06-04T04:39:30+02:00;0.000298008
Mu;2018-06-04T04:40:30+02:00;0.000298388
Mu;2018-06-04T04:41:30+02:00;0.000297488
Mu;2018-06-04T04:42:30+02:00;0.000295364
