Series;Time;Value
Mu;2018-05-27T23:59:30+02:00;43.6072
Mu;2018-05-28T00:00:30+02:00;43.5368
Mu;2018-05-28T00:01:30+02:00;43.4521
Mu;2018-05-28T00:02:30+02:00;43.3672
Mu;2018-05-28T00:03:30+02:00;43.3099
Mu;2018-05-28T00:04:30+02:00;43.2328
Mu;2018-05-28T00:05:30+02:00;43.1583
Mu;2018-05-28T00:06:30+02:00;43.0882
Mu;2018-05-28T00:07:30+02:00;43.0182
Mu;2018-05-28T00:08:30+02:00;42.9204
Mu;2018-05-28T00:09:30+02:00;42.7017
Mu;2018-05-28T00:10:30+02:00;42.1011
Mu;2018-05-28T00:11:30+02:00;41.021
Mu;2018-05-28T00:12:30+02:00;41.6254
Mu;2018-05-28T00:13:30+02:00;42.5884
Mu;2018-05-28T00:14:30+02:00;42.8559
Mu;2018-05-28T00:15:30+02:00;42.8725
Mu;2018-05-28T00:16:30+02:00;42.8488
Mu;2018-05-28T00:17:30+02:00;42.7884
Mu;2018-05-28T00:18:30+02:00;42.7171
Mu;2018-05-28T00:19:30+02:00;42.6538
Mu;2018-05-28T00:20:30+02:00;42.583
Mu;2018-05-28T00:21:30+02:00;42.508
Mu;2018-05-28T00:22:30+02:00;42.4325
Mu;2018-05-28T00:23:30+02:00;42.3609
Mu;2018-05-28T00:24:30+02:00;42.2916
Mu;2018-05-28T00:25:30+02:00;42.217
Mu;2018-05-28T00:26:30+02:00;42.1408
Mu;2018-05-28T00:27:30+02:00;42.0594
Mu;2018-05-28T00:28:30+02:00;41.986
Mu;2018-05-28T00:29:30+02:00;41.891
Mu;2018-05-28T00:30:30+02:00;41.872
Mu;2018-05-28T00:31:30+02:00;41.8784
Mu;2018-05-28T00:32:30+02:00;41.8194
Mu;2018-05-28T00:33:30+02:00;41.7495
Mu;2018-05-28T00:34:30+02:00;41.6884
Mu;2018-05-28T00:35:30+02:00;41.6305
Mu;2018-05-28T00:36:30+02:00;41.5719
Mu;2018-05-28T00:37:30+02:00;41.5096
Mu;2018-05-28T00:38:30+02:00;41.4427
Mu;2018-05-28T00:39:30+02:00;41.3693
Mu;2018-05-28T00:40:30+02:00;41.2887
Mu;2018-05-28T00:41:30+02:00;41.2065
Mu;2018-05-28T00:42:30+02:00;41.1285
Mu;2018-05-28T00:43:30+02:00;41.054
Mu;2018-05-28T00:44:30+02:00;40.9854
Mu;2018-05-28T00:45:30+02:00;40.9234
Mu;2018-05-28T00:46:30+02:00;40.8511
Mu;2018-05-28T00:47:30+02:00;40.7825
Mu;2018-05-28T00:48:30+02:00;40.7473
Mu;2018-05-28T00:49:30+02:00;40.7369
Mu;2018-05-28T00:50:30+02:00;40.6879
Mu;2018-05-28T00:51:30+02:00;40.6184
Mu;2018-05-28T00:52:30+02:00;40.5537
Mu;2018-05-28T00:53:30+02:00;40.4497
Mu;2018-05-28T00:54:30+02:00;40.3607
Mu;2018-05-28T00:55:30+02:00;40.2955
Mu;2018-05-28T00:56:30+02:00;40.2252
Mu;2018-05-28T00:57:30+02:00;40.1524
Mu;2018-05-28T00:58:30+02:00;40.0704
Mu;2018-05-28T00:59:30+02:00;39.9986
Mu;2018-05-28T01:00:30+02:00;39.9312
Mu;2018-05-28T01:01:30+02:00;39.8583
Mu;2018-05-28T01:02:30+02:00;39.7955
Mu;2018-05-28T01:03:30+02:00;39.7289
Mu;2018-05-28T01:04:30+02:00;39.674
Mu;2018-05-28T01:05:30+02:00;39.6149
Mu;2018-05-28T01:06:30+02:00;37.9332
Mu;2018-05-28T01:07:30+02:00;25.0753
Mu;2018-05-28T01:08:30+02:00;4.76674
Mu;2018-05-28T01:09:30+02:00;0.242442
Mu;2018-05-28T01:10:30+02:00;0.000491013
Mu;2018-05-28T01:11:30+02:00;0.000457957
Mu;2018-05-28T01:12:30+02:00;0.000435915
Mu;2018-05-28T01:13:30+02:00;0.000419529
Mu;2018-05-28T01:14:30+02:00;0.000406827
Mu;2018-05-28T01:15:30+02:00;0.000398038
Mu;2018-05-28T01:16:30+02:00;0.000391379
Mu;2018-05-28T01:17:30+02:00;0.000385932
Mu;2018-05-28T01:18:30+02:00;0.000380953
