Series;Time;Value
Mu;2018-05-06T23:59:30+02:00;20.2556
Mu;2018-05-07T00:00:30+02:00;20.2353
Mu;2018-05-07T00:01:30+02:00;20.2048
Mu;2018-05-07T00:02:30+02:00;20.1727
Mu;2018-05-07T00:03:30+02:00;20.1475
Mu;2018-05-07T00:04:30+02:00;20.1152
Mu;2018-05-07T00:05:30+02:00;20.0719
Mu;2018-05-07T00:06:30+02:00;20.0454
Mu;2018-05-07T00:07:30+02:00;20.0232
Mu;2018-05-07T00:08:30+02:00;20.0047
Mu;2018-05-07T00:09:30+02:00;19.9899
Mu;2018-05-07T00:10:30+02:00;19.9646
Mu;2018-05-07T00:11:30+02:00;19.9334
Mu;2018-05-07T00:12:30+02:00;19.9006
Mu;2018-05-07T00:13:30+02:00;19.872
Mu;2018-05-07T00:14:30+02:00;19.8494
Mu;2018-05-07T00:15:30+02:00;19.8249
Mu;2018-05-07T00:16:30+02:00;19.8074
Mu;2018-05-07T00:17:30+02:00;19.7804
Mu;2018-05-07T00:18:30+02:00;19.745
Mu;2018-05-07T00:19:30+02:00;19.7091
Mu;2018-05-07T00:20:30+02:00;19.6789
Mu;2018-05-07T00:21:30+02:00;19.653
Mu;2018-05-07T00:22:30+02:00;19.6316
Mu;2018-05-07T00:23:30+02:00;19.6011
Mu;2018-05-07T00:24:30+02:00;19.5787
Mu;2018-05-07T00:25:30+02:00;19.5438
Mu;2018-05-07T00:26:30+02:00;19.4899
Mu;2018-05-07T00:27:30+02:00;19.4612
Mu;2018-05-07T00:28:30+02:00;19.4391
Mu;2018-05-07T00:29:30+02:00;19.4104
Mu;2018-05-07T00:30:30+02:00;19.3762
Mu;2018-05-07T00:31:30+02:00;19.3451
Mu;2018-05-07T00:32:30+02:00;19.3139
Mu;2018-05-07T00:33:30+02:00;19.224
Mu;2018-05-07T00:34:30+02:00;18.9279
Mu;2018-05-07T00:35:30+02:00;18.6972
Mu;2018-05-07T00:36:30+02:00;19.1
Mu;2018-05-07T00:37:30+02:00;19.3179
Mu;2018-05-07T00:38:30+02:00;19.3267
Mu;2018-05-07T00:39:30+02:00;19.3339
Mu;2018-05-07T00:40:30+02:00;19.5864
Mu;2018-05-07T00:41:30+02:00;20.3508
Mu;2018-05-07T00:42:30+02:00;20.6928
Mu;2018-05-07T00:43:30+02:00;20.6941
Mu;2018-05-07T00:44:30+02:00;20.4858
Mu;2018-05-07T00:45:30+02:00;20.0708
Mu;2018-05-07T00:46:30+02:00;20.2815
Mu;2018-05-07T00:47:30+02:00;20.5563
Mu;2018-05-07T00:48:30+02:00;20.606
Mu;2018-05-07T00:49:30+02:00;20.5811
Mu;2018-05-07T00:50:30+02:00;20.5501
Mu;2018-05-07T00:51:30+02:00;20.5192
Mu;2018-05-07T00:52:30+02:00;20.4887
Mu;2018-05-07T00:53:30+02:00;20.4526
Mu;2018-05-07T00:54:30+02:00;20.4178
Mu;2018-05-07T00:55:30+02:00;20.3843
Mu;2018-05-07T00:56:30+02:00;20.3484
Mu;2018-05-07T00:57:30+02:00;20.3132
Mu;2018-05-07T00:58:30+02:00;20.2794
Mu;2018-05-07T00:59:30+02:00;20.2455
Mu;2018-05-07T01:00:30+02:00;20.2138
Mu;2018-05-07T01:01:30+02:00;20.1838
Mu;2018-05-07T01:02:30+02:00;20.1517
Mu;2018-05-07T01:03:30+02:00;20.1188
Mu;2018-05-07T01:04:30+02:00;20.084
Mu;2018-05-07T01:05:30+02:00;20.0517
Mu;2018-05-07T01:06:30+02:00;20.0196
Mu;2018-05-07T01:07:30+02:00;19.9886
Mu;2018-05-07T01:08:30+02:00;19.9578
Mu;2018-05-07T01:09:30+02:00;19.9275
Mu;2018-05-07T01:10:30+02:00;19.8982
Mu;2018-05-07T01:11:30+02:00;19.8642
Mu;2018-05-07T01:12:30+02:00;19.8309
Mu;2018-05-07T01:13:30+02:00;19.7995
Mu;2018-05-07T01:14:30+02:00;19.7681
Mu;2018-05-07T01:15:30+02:00;19.7387
Mu;2018-05-07T01:16:30+02:00;19.7112
Mu;2018-05-07T01:17:30+02:00;19.7234
Mu;2018-05-07T01:18:30+02:00;19.962
Mu;2018-05-07T01:19:30+02:00;20.4946
Mu;2018-05-07T01:20:30+02:00;20.6558
Mu;2018-05-07T01:21:30+02:00;20.5005
Mu;2018-05-07T01:22:30+02:00;20.149
Mu;2018-05-07T01:23:30+02:00;20.1542
Mu;2018-05-07T01:24:30+02:00;20.4238
Mu;2018-05-07T01:25:30+02:00;20.5036
Mu;2018-05-07T01:26:30+02:00;20.4737
Mu;2018-05-07T01:27:30+02:00;20.4298
Mu;2018-05-07T01:28:30+02:00;20.393
Mu;2018-05-07T01:29:30+02:00;20.355
Mu;2018-05-07T01:30:30+02:00;20.3182
Mu;2018-05-07T01:31:30+02:00;20.2798
Mu;2018-05-07T01:32:30+02:00;20.2405
Mu;2018-05-07T01:33:30+02:00;20.204
Mu;2018-05-07T01:34:30+02:00;20.1691
Mu;2018-05-07T01:35:30+02:00;20.1322
Mu;2018-05-07T01:36:30+02:00;20.0988
Mu;2018-05-07T01:37:30+02:00;20.0629
Mu;2018-05-07T01:38:30+02:00;20.0271
Mu;2018-05-07T01:39:30+02:00;19.99
Mu;2018-05-07T01:40:30+02:00;19.9513
Mu;2018-05-07T01:41:30+02:00;19.9116
Mu;2018-05-07T01:42:30+02:00;19.8746
Mu;2018-05-07T01:43:30+02:00;19.8385
Mu;2018-05-07T01:44:30+02:00;18.9494
Mu;2018-05-07T01:45:30+02:00;13.7418
Mu;2018-05-07T01:46:30+02:00;12.5628
Mu;2018-05-07T01:47:30+02:00;11.2706
Mu;2018-05-07T01:48:30+02:00;7.15545
Mu;2018-05-07T01:49:30+02:00;13.1687
Mu;2018-05-07T01:50:30+02:00;11.9292
Mu;2018-05-07T01:51:30+02:00;12.6229
Mu;2018-05-07T01:52:30+02:00;18.4284
Mu;2018-05-07T01:53:30+02:00;19.5159
Mu;2018-05-07T01:54:30+02:00;19.5147
Mu;2018-05-07T01:55:30+02:00;19.4866
Mu;2018-05-07T01:56:30+02:00;19.453
Mu;2018-05-07T01:57:30+02:00;19.4095
Mu;2018-05-07T01:58:30+02:00;19.372
Mu;2018-05-07T01:59:30+02:00;19.3377
Mu;2018-05-07T02:00:30+02:00;19.304
Mu;2018-05-07T02:01:30+02:00;19.2723
Mu;2018-05-07T02:02:30+02:00;19.2363
Mu;2018-05-07T02:03:30+02:00;19.1978
Mu;2018-05-07T02:04:30+02:00;19.1613
Mu;2018-05-07T02:05:30+02:00;19.1291
Mu;2018-05-07T02:06:30+02:00;19.0979
Mu;2018-05-07T02:07:30+02:00;19.0645
Mu;2018-05-07T02:08:30+02:00;19.031
Mu;2018-05-07T02:09:30+02:00;18.9998
Mu;2018-05-07T02:10:30+02:00;18.9672
Mu;2018-05-07T02:11:30+02:00;18.9347
