Series;Time;Value
Mu;2018-09-09T23:59:30+02:00;31.2118
Mu;2018-09-10T00:00:30+02:00;31.1579
Mu;2018-09-10T00:01:30+02:00;31.1775
Mu;2018-09-10T00:02:30+02:00;31.1419
Mu;2018-09-10T00:03:30+02:00;31.0035
Mu;2018-09-10T00:04:30+02:00;30.9033
Mu;2018-09-10T00:05:30+02:00;30.8526
Mu;2018-09-10T00:06:30+02:00;30.8578
Mu;2018-09-10T00:07:30+02:00;30.8639
Mu;2018-09-10T00:08:30+02:00;30.7731
Mu;2018-09-10T00:09:30+02:00;30.6977
Mu;2018-09-10T00:10:30+02:00;30.6684
Mu;2018-09-10T00:11:30+02:00;30.6306
Mu;2018-09-10T00:12:30+02:00;30.5913
Mu;2018-09-10T00:13:30+02:00;30.5863
Mu;2018-09-10T00:14:30+02:00;30.4453
Mu;2018-09-10T00:15:30+02:00;29.7716
Mu;2018-09-10T00:16:30+02:00;29.3132
Mu;2018-09-10T00:17:30+02:00;30.1818
Mu;2018-09-10T00:18:30+02:00;30.4578
Mu;2018-09-10T00:19:30+02:00;30.4491
Mu;2018-09-10T00:20:30+02:00;30.4781
Mu;2018-09-10T00:21:30+02:00;30.3572
Mu;2018-09-10T00:22:30+02:00;30.2634
Mu;2018-09-10T00:23:30+02:00;30.257
Mu;2018-09-10T00:24:30+02:00;30.2531
Mu;2018-09-10T00:25:30+02:00;30.1909
Mu;2018-09-10T00:26:30+02:00;30.1236
Mu;2018-09-10T00:27:30+02:00;30.0727
Mu;2018-09-10T00:28:30+02:00;30.0762
Mu;2018-09-10T00:29:30+02:00;30.0042
Mu;2018-09-10T00:30:30+02:00;29.9296
Mu;2018-09-10T00:31:30+02:00;29.8562
Mu;2018-09-10T00:32:30+02:00;29.7369
Mu;2018-09-10T00:33:30+02:00;29.6796
Mu;2018-09-10T00:34:30+02:00;29.7037
Mu;2018-09-10T00:35:30+02:00;29.6552
Mu;2018-09-10T00:36:30+02:00;29.6234
Mu;2018-09-10T00:37:30+02:00;29.5066
Mu;2018-09-10T00:38:30+02:00;29.5538
Mu;2018-09-10T00:39:30+02:00;29.5486
Mu;2018-09-10T00:40:30+02:00;29.5501
Mu;2018-09-10T00:41:30+02:00;29.5606
Mu;2018-09-10T00:42:30+02:00;29.4867
Mu;2018-09-10T00:43:30+02:00;29.4786
Mu;2018-09-10T00:44:30+02:00;29.397
Mu;2018-09-10T00:45:30+02:00;29.349
Mu;2018-09-10T00:46:30+02:00;29.3169
Mu;2018-09-10T00:47:30+02:00;29.2783
Mu;2018-09-10T00:48:30+02:00;29.2195
Mu;2018-09-10T00:49:30+02:00;29.1525
Mu;2018-09-10T00:50:30+02:00;29.0748
Mu;2018-09-10T00:51:30+02:00;29.0386
Mu;2018-09-10T00:52:30+02:00;28.9886
Mu;2018-09-10T00:53:30+02:00;28.9646
Mu;2018-09-10T00:54:30+02:00;28.9297
Mu;2018-09-10T00:55:30+02:00;28.9018
Mu;2018-09-10T00:56:30+02:00;28.8811
Mu;2018-09-10T00:57:30+02:00;28.868
Mu;2018-09-10T00:58:30+02:00;28.8405
Mu;2018-09-10T00:59:30+02:00;28.8035
Mu;2018-09-10T01:00:30+02:00;28.7487
Mu;2018-09-10T01:01:30+02:00;28.7002
Mu;2018-09-10T01:02:30+02:00;28.6448
Mu;2018-09-10T01:03:30+02:00;28.604
Mu;2018-09-10T01:04:30+02:00;28.5546
Mu;2018-09-10T01:05:30+02:00;28.5208
Mu;2018-09-10T01:06:30+02:00;28.513
Mu;2018-09-10T01:07:30+02:00;28.468
Mu;2018-09-10T01:08:30+02:00;28.4063
Mu;2018-09-10T01:09:30+02:00;28.3424
Mu;2018-09-10T01:10:30+02:00;28.2943
Mu;2018-09-10T01:11:30+02:00;28.2496
Mu;2018-09-10T01:12:30+02:00;28.1707
Mu;2018-09-10T01:13:30+02:00;27.9202
Mu;2018-09-10T01:14:30+02:00;27.7047
Mu;2018-09-10T01:15:30+02:00;27.6612
Mu;2018-09-10T01:16:30+02:00;27.6389
Mu;2018-09-10T01:17:30+02:00;27.6499
Mu;2018-09-10T01:18:30+02:00;27.6001
Mu;2018-09-10T01:19:30+02:00;27.6045
Mu;2018-09-10T01:20:30+02:00;27.57
