Series;Time;Value
Mu;2018-08-19T23:59:00+02:00;0.000374027
Mu;2018-08-20T00:07:30+02:00;0.000317757
Mu;2018-08-20T00:08:30+02:00;0.00031708
Mu;2018-08-20T00:09:30+02:00;0.000316527
Mu;2018-08-20T00:10:30+02:00;0.000316917
Mu;2018-08-20T00:11:30+02:00;0.000317044
Mu;2018-08-20T00:12:30+02:00;0.000316695
Mu;2018-08-20T00:13:30+02:00;0.000316452
Mu;2018-08-20T00:14:30+02:00;0.00031609
Mu;2018-08-20T00:15:30+02:00;0.000315988
Mu;2018-08-20T00:16:30+02:00;0.000315342
Mu;2018-08-20T00:17:30+02:00;0.000315826
Mu;2018-08-20T00:18:30+02:00;0.000315578
Mu;2018-08-20T00:19:30+02:00;0.000315303
Mu;2018-08-20T00:20:30+02:00;0.000315263
Mu;2018-08-20T00:21:30+02:00;0.000315043
Mu;2018-08-20T00:22:30+02:00;0.000315378
Mu;2018-08-20T00:23:30+02:00;0.000315933
Mu;2018-08-20T00:24:30+02:00;0.000315769
Mu;2018-08-20T00:25:30+02:00;0.00031537
Mu;2018-08-20T00:26:30+02:00;0.000315229
Mu;2018-08-20T00:27:30+02:00;0.000314933
Mu;2018-08-20T00:28:30+02:00;0.000314888
Mu;2018-08-20T00:29:30+02:00;0.000314833
Mu;2018-08-20T00:30:30+02:00;0.000315548
Mu;2018-08-20T00:31:30+02:00;0.000315185
Mu;2018-08-20T00:32:30+02:00;0.000315315
Mu;2018-08-20T00:33:30+02:00;0.00031569
Mu;2018-08-20T00:34:30+02:00;0.000315751
Mu;2018-08-20T00:35:30+02:00;0.000315515
Mu;2018-08-20T00:36:30+02:00;0.000315943
Mu;2018-08-20T00:37:30+02:00;0.000315975
Mu;2018-08-20T00:38:30+02:00;0.00031633
Mu;2018-08-20T00:39:30+02:00;0.000317157
Mu;2018-08-20T00:40:30+02:00;0.000317373
Mu;2018-08-20T00:41:30+02:00;0.000317558
Mu;2018-08-20T00:42:30+02:00;0.000317563
Mu;2018-08-20T00:43:30+02:00;0.000317331
Mu;2018-08-20T00:44:30+02:00;0.00031683
Mu;2018-08-20T00:45:30+02:00;0.000316838
Mu;2018-08-20T00:46:30+02:00;0.000317264
Mu;2018-08-20T00:47:30+02:00;0.000316921
Mu;2018-08-20T00:48:30+02:00;0.000316604
Mu;2018-08-20T00:49:30+02:00;0.000316511
Mu;2018-08-20T00:50:30+02:00;0.000316548
Mu;2018-08-20T00:51:30+02:00;0.000316612
Mu;2018-08-20T00:52:30+02:00;0.000316395
Mu;2018-08-20T00:53:30+02:00;0.000316196
Mu;2018-08-20T00:54:30+02:00;0.000315896
Mu;2018-08-20T00:55:30+02:00;0.000316182
Mu;2018-08-20T00:56:30+02:00;0.000316306
Mu;2018-08-20T00:57:30+02:00;0.000316258
Mu;2018-08-20T00:58:30+02:00;0.000315997
Mu;2018-08-20T00:59:30+02:00;0.000316001
Mu;2018-08-20T01:00:30+02:00;0.000316025
Mu;2018-08-20T01:01:30+02:00;0.00031706
Mu;2018-08-20T01:02:30+02:00;0.000317276
Mu;2018-08-20T01:03:30+02:00;0.00031679
Mu;2018-08-20T01:04:30+02:00;0.000314965
Mu;2018-08-20T01:05:30+02:00;0.000312536
Mu;2018-08-20T01:06:30+02:00;0.0003117
Mu;2018-08-20T01:07:30+02:00;0.000311591
Mu;2018-08-20T01:08:30+02:00;0.000311855
Mu;2018-08-20T01:09:30+02:00;0.000311357
Mu;2018-08-20T01:10:30+02:00;0.000310793
Mu;2018-08-20T01:11:30+02:00;0.000311249
Mu;2018-08-20T01:12:30+02:00;0.000311532
Mu;2018-08-20T01:13:30+02:00;0.000311407
Mu;2018-08-20T01:14:30+02:00;0.000311245
Mu;2018-08-20T01:15:30+02:00;0.000310803
Mu;2018-08-20T01:16:30+02:00;0.000310087
Mu;2018-08-20T01:17:30+02:00;0.000310497
Mu;2018-08-20T01:18:30+02:00;0.000310837
Mu;2018-08-20T01:19:30+02:00;0.000310657
Mu;2018-08-20T01:20:30+02:00;0.000310997
Mu;2018-08-20T01:21:30+02:00;0.000311197
Mu;2018-08-20T01:22:30+02:00;0.000311247
Mu;2018-08-20T01:23:30+02:00;0.000311114
Mu;2018-08-20T01:24:30+02:00;0.000310658
Mu;2018-08-20T01:25:30+02:00;0.000310868
Mu;2018-08-20T01:26:30+02:00;0.000310792
Mu;2018-08-20T01:27:30+02:00;0.000310658
Mu;2018-08-20T01:28:30+02:00;0.000310794
Mu;2018-08-20T01:29:30+02:00;0.000310553
Mu;2018-08-20T01:30:30+02:00;0.000310207
Mu;2018-08-20T01:31:30+02:00;0.000310402
Mu;2018-08-20T01:32:30+02:00;0.000310357
Mu;2018-08-20T01:33:30+02:00;0.000309833
Mu;2018-08-20T01:34:30+02:00;0.000309697
Mu;2018-08-20T01:35:30+02:00;0.000309525
Mu;2018-08-20T01:36:30+02:00;0.00031005
Mu;2018-08-20T01:37:30+02:00;0.000310044
Mu;2018-08-20T01:38:30+02:00;0.000309941
Mu;2018-08-20T01:39:30+02:00;0.000309618
Mu;2018-08-20T01:40:30+02:00;0.000309345
Mu;2018-08-20T01:41:30+02:00;0.000309275
Mu;2018-08-20T01:42:30+02:00;0.000309256
Mu;2018-08-20T01:43:30+02:00;0.000308908
Mu;2018-08-20T01:44:30+02:00;0.000308399
Mu;2018-08-20T01:45:30+02:00;0.000308662
Mu;2018-08-20T01:46:30+02:00;0.0003088
Mu;2018-08-20T01:47:30+02:00;0.000308939
Mu;2018-08-20T01:48:30+02:00;0.000308586
Mu;2018-08-20T01:49:30+02:00;0.000308386
Mu;2018-08-20T01:50:30+02:00;0.000308558
Mu;2018-08-20T01:51:30+02:00;0.000308994
Mu;2018-08-20T01:52:30+02:00;0.00030842
Mu;2018-08-20T01:53:30+02:00;0.000308055
Mu;2018-08-20T01:54:30+02:00;0.000308735
Mu;2018-08-20T01:55:30+02:00;0.000308749
Mu;2018-08-20T01:56:30+02:00;0.000308662
Mu;2018-08-20T01:57:30+02:00;0.00030781
Mu;2018-08-20T01:58:30+02:00;0.000307952
Mu;2018-08-20T01:59:30+02:00;0.000308439
Mu;2018-08-20T02:00:30+02:00;0.000308917
Mu;2018-08-20T02:01:30+02:00;0.000308478
Mu;2018-08-20T02:02:30+02:00;0.0003086
Mu;2018-08-20T02:03:30+02:00;0.000308753
