Series;Time;Value
Mu;2018-05-20T23:59:30+02:00;44.6206
Mu;2018-05-21T00:00:30+02:00;44.5626
Mu;2018-05-21T00:01:30+02:00;44.5378
Mu;2018-05-21T00:02:30+02:00;44.5019
Mu;2018-05-21T00:03:30+02:00;44.429
Mu;2018-05-21T00:04:30+02:00;44.3713
Mu;2018-05-21T00:05:30+02:00;44.3027
Mu;2018-05-21T00:06:30+02:00;44.2148
Mu;2018-05-21T00:07:30+02:00;44.1193
Mu;2018-05-21T00:08:30+02:00;44.009
Mu;2018-05-21T00:09:30+02:00;43.9373
Mu;2018-05-21T00:10:30+02:00;43.8937
Mu;2018-05-21T00:11:30+02:00;43.8321
Mu;2018-05-21T00:12:30+02:00;43.777
Mu;2018-05-21T00:13:30+02:00;43.7524
Mu;2018-05-21T00:14:30+02:00;43.7174
Mu;2018-05-21T00:15:30+02:00;43.6276
Mu;2018-05-21T00:16:30+02:00;43.5375
Mu;2018-05-21T00:17:30+02:00;43.4541
Mu;2018-05-21T00:18:30+02:00;43.3628
Mu;2018-05-21T00:19:30+02:00;43.2909
Mu;2018-05-21T00:20:30+02:00;43.2252
Mu;2018-05-21T00:21:30+02:00;43.1635
Mu;2018-05-21T00:22:30+02:00;43.1003
Mu;2018-05-21T00:23:30+02:00;43.0417
Mu;2018-05-21T00:24:30+02:00;42.9795
Mu;2018-05-21T00:25:30+02:00;42.9238
Mu;2018-05-21T00:26:30+02:00;42.8452
Mu;2018-05-21T00:27:30+02:00;42.7682
Mu;2018-05-21T00:28:30+02:00;42.6862
Mu;2018-05-21T00:29:30+02:00;42.6478
Mu;2018-05-21T00:30:30+02:00;42.6981
Mu;2018-05-21T00:31:30+02:00;42.6458
Mu;2018-05-21T00:32:30+02:00;42.5343
Mu;2018-05-21T00:33:30+02:00;42.4292
Mu;2018-05-21T00:34:30+02:00;42.3239
Mu;2018-05-21T00:35:30+02:00;42.2536
Mu;2018-05-21T00:36:30+02:00;42.2107
Mu;2018-05-21T00:37:30+02:00;42.1384
Mu;2018-05-21T00:38:30+02:00;42.0819
Mu;2018-05-21T00:39:30+02:00;42.0224
Mu;2018-05-21T00:40:30+02:00;41.9489
Mu;2018-05-21T00:41:30+02:00;41.8743
Mu;2018-05-21T00:42:30+02:00;41.8035
Mu;2018-05-21T00:43:30+02:00;41.7367
Mu;2018-05-21T00:44:30+02:00;41.6441
Mu;2018-05-21T00:45:30+02:00;41.5854
Mu;2018-05-21T00:46:30+02:00;41.5385
Mu;2018-05-21T00:47:30+02:00;41.5319
Mu;2018-05-21T00:48:30+02:00;41.5207
Mu;2018-05-21T00:49:30+02:00;41.4407
Mu;2018-05-21T00:50:30+02:00;41.3768
Mu;2018-05-21T00:51:30+02:00;41.3284
Mu;2018-05-21T00:52:30+02:00;41.2375
Mu;2018-05-21T00:53:30+02:00;41.1024
Mu;2018-05-21T00:54:30+02:00;41.0047
Mu;2018-05-21T00:55:30+02:00;40.9757
Mu;2018-05-21T00:56:30+02:00;40.9611
Mu;2018-05-21T00:57:30+02:00;40.9448
Mu;2018-05-21T00:58:30+02:00;40.9041
Mu;2018-05-21T00:59:30+02:00;40.8329
Mu;2018-05-21T01:00:30+02:00;40.7482
Mu;2018-05-21T01:01:30+02:00;40.6816
Mu;2018-05-21T01:02:30+02:00;40.6257
Mu;2018-05-21T01:03:30+02:00;40.5681
Mu;2018-05-21T01:04:30+02:00;40.5034
Mu;2018-05-21T01:05:30+02:00;40.4542
Mu;2018-05-21T01:06:30+02:00;40.4251
Mu;2018-05-21T01:07:30+02:00;40.4537
Mu;2018-05-21T01:08:30+02:00;40.4362
Mu;2018-05-21T01:09:30+02:00;40.3958
Mu;2018-05-21T01:10:30+02:00;40.3635
Mu;2018-05-21T01:11:30+02:00;40.3413
Mu;2018-05-21T01:12:30+02:00;40.3167
Mu;2018-05-21T01:13:30+02:00;40.2857
Mu;2018-05-21T01:14:30+02:00;40.1918
Mu;2018-05-21T01:15:30+02:00;40.0487
Mu;2018-05-21T01:16:30+02:00;39.9298
Mu;2018-05-21T01:17:30+02:00;39.8658
Mu;2018-05-21T01:18:30+02:00;39.7963
Mu;2018-05-21T01:19:30+02:00;39.7349
Mu;2018-05-21T01:20:30+02:00;39.6763
Mu;2018-05-21T01:21:30+02:00;39.612
Mu;2018-05-21T01:22:30+02:00;39.6026
Mu;2018-05-21T01:23:30+02:00;39.6069
Mu;2018-05-21T01:24:30+02:00;39.5866
Mu;2018-05-21T01:25:30+02:00;39.5766
Mu;2018-05-21T01:26:30+02:00;39.5435
Mu;2018-05-21T01:27:30+02:00;39.4891
Mu;2018-05-21T01:28:30+02:00;39.4391
Mu;2018-05-21T01:29:30+02:00;39.3808
Mu;2018-05-21T01:30:30+02:00;39.3212
Mu;2018-05-21T01:31:30+02:00;39.2547
Mu;2018-05-21T01:32:30+02:00;39.1722
Mu;2018-05-21T01:33:30+02:00;39.1042
Mu;2018-05-21T01:34:30+02:00;39.0329
Mu;2018-05-21T01:35:30+02:00;38.9722
Mu;2018-05-21T01:36:30+02:00;38.9272
Mu;2018-05-21T01:37:30+02:00;38.8859
Mu;2018-05-21T01:38:30+02:00;38.8362
Mu;2018-05-21T01:39:30+02:00;38.7811
Mu;2018-05-21T01:40:30+02:00;38.7077
Mu;2018-05-21T01:41:30+02:00;38.6708
Mu;2018-05-21T01:42:30+02:00;38.6234
Mu;2018-05-21T01:43:30+02:00;38.5515
Mu;2018-05-21T01:44:30+02:00;38.5355
Mu;2018-05-21T01:45:30+02:00;38.5409
Mu;2018-05-21T01:46:30+02:00;38.5088
Mu;2018-05-21T01:47:30+02:00;38.4846
Mu;2018-05-21T01:48:30+02:00;38.4489
Mu;2018-05-21T01:49:30+02:00;38.3985
Mu;2018-05-21T01:50:30+02:00;38.3395
Mu;2018-05-21T01:51:30+02:00;38.2745
Mu;2018-05-21T01:52:30+02:00;38.2134
Mu;2018-05-21T01:53:30+02:00;38.1413
Mu;2018-05-21T01:54:30+02:00;38.0898
Mu;2018-05-21T01:55:30+02:00;38.0217
Mu;2018-05-21T01:56:30+02:00;37.9538
Mu;2018-05-21T01:57:30+02:00;37.8914
Mu;2018-05-21T01:58:30+02:00;37.8337
Mu;2018-05-21T01:59:30+02:00;37.7794
Mu;2018-05-21T02:00:30+02:00;37.7342
Mu;2018-05-21T02:01:30+02:00;37.6516
Mu;2018-05-21T02:02:30+02:00;37.6022
Mu;2018-05-21T02:03:30+02:00;37.5888
Mu;2018-05-21T02:04:30+02:00;37.5579
Mu;2018-05-21T02:05:30+02:00;37.4934
Mu;2018-05-21T02:06:30+02:00;37.4168
Mu;2018-05-21T02:07:30+02:00;37.322
Mu;2018-05-21T02:08:30+02:00;37.258
Mu;2018-05-21T02:09:30+02:00;37.2222
Mu;2018-05-21T02:10:30+02:00;37.1795
Mu;2018-05-21T02:11:30+02:00;37.1493
Mu;2018-05-21T02:12:30+02:00;37.1223
Mu;2018-05-21T02:13:30+02:00;37.0362
Mu;2018-05-21T02:14:30+02:00;36.9523
Mu;2018-05-21T02:15:30+02:00;36.8859
Mu;2018-05-21T02:16:30+02:00;36.8155
Mu;2018-05-21T02:17:30+02:00;36.7405
Mu;2018-05-21T02:18:30+02:00;36.6444
Mu;2018-05-21T02:19:30+02:00;36.5557
Mu;2018-05-21T02:20:30+02:00;36.4895
Mu;2018-05-21T02:21:30+02:00;36.4252
Mu;2018-05-21T02:22:30+02:00;36.3673
Mu;2018-05-21T02:23:30+02:00;36.3015
Mu;2018-05-21T02:24:30+02:00;36.278
Mu;2018-05-21T02:25:30+02:00;36.2574
Mu;2018-05-21T02:26:30+02:00;36.1735
Mu;2018-05-21T02:27:30+02:00;36.0992
Mu;2018-05-21T02:28:30+02:00;36.0299
Mu;2018-05-21T02:29:30+02:00;35.9699
Mu;2018-05-21T02:30:30+02:00;35.9154
Mu;2018-05-21T02:31:30+02:00;35.8293
Mu;2018-05-21T02:32:30+02:00;35.725
Mu;2018-05-21T02:33:30+02:00;35.6555
Mu;2018-05-21T02:34:30+02:00;35.642
Mu;2018-05-21T02:35:30+02:00;35.635
Mu;2018-05-21T02:36:30+02:00;35.6155
Mu;2018-05-21T02:37:30+02:00;35.5843
Mu;2018-05-21T02:38:30+02:00;35.5231
Mu;2018-05-21T02:39:30+02:00;35.4613
Mu;2018-05-21T02:40:30+02:00;35.3853
Mu;2018-05-21T02:41:30+02:00;35.1092
Mu;2018-05-21T02:42:30+02:00;34.0856
Mu;2018-05-21T02:43:30+02:00;32.883
Mu;2018-05-21T02:44:30+02:00;34.8781
Mu;2018-05-21T02:45:30+02:00;35.9879
Mu;2018-05-21T02:46:30+02:00;36.1259
Mu;2018-05-21T02:47:30+02:00;36.1456
Mu;2018-05-21T02:48:30+02:00;36.118
Mu;2018-05-21T02:49:30+02:00;36.0617
Mu;2018-05-21T02:50:30+02:00;36.0048
Mu;2018-05-21T02:51:30+02:00;35.9509
Mu;2018-05-21T02:52:30+02:00;35.8991
Mu;2018-05-21T02:53:30+02:00;35.8435
Mu;2018-05-21T02:54:30+02:00;35.7837
Mu;2018-05-21T02:55:30+02:00;35.7201
Mu;2018-05-21T02:56:30+02:00;35.6546
Mu;2018-05-21T02:57:30+02:00;35.5985
Mu;2018-05-21T02:58:30+02:00;35.5445
Mu;2018-05-21T02:59:30+02:00;35.4887
Mu;2018-05-21T03:00:30+02:00;35.4489
Mu;2018-05-21T03:01:30+02:00;35.4481
Mu;2018-05-21T03:02:30+02:00;35.4344
Mu;2018-05-21T03:03:30+02:00;35.3845
Mu;2018-05-21T03:04:30+02:00;35.3321
Mu;2018-05-21T03:05:30+02:00;35.2717
Mu;2018-05-21T03:06:30+02:00;35.198
Mu;2018-05-21T03:07:30+02:00;35.1429
Mu;2018-05-21T03:08:30+02:00;35.0939
Mu;2018-05-21T03:09:30+02:00;35.0449
Mu;2018-05-21T03:10:30+02:00;34.9871
Mu;2018-05-21T03:11:30+02:00;34.9286
Mu;2018-05-21T03:12:30+02:00;34.877
Mu;2018-05-21T03:13:30+02:00;34.8225
Mu;2018-05-21T03:14:30+02:00;34.7685
Mu;2018-05-21T03:15:30+02:00;34.714
Mu;2018-05-21T03:16:30+02:00;34.6586
Mu;2018-05-21T03:17:30+02:00;34.605
Mu;2018-05-21T03:18:30+02:00;34.5482
Mu;2018-05-21T03:19:30+02:00;34.4977
Mu;2018-05-21T03:20:30+02:00;34.489
Mu;2018-05-21T03:21:30+02:00;34.4929
Mu;2018-05-21T03:22:30+02:00;34.4529
Mu;2018-05-21T03:23:30+02:00;34.3997
Mu;2018-05-21T03:24:30+02:00;34.337
Mu;2018-05-21T03:25:30+02:00;34.2603
Mu;2018-05-21T03:26:30+02:00;34.1857
Mu;2018-05-21T03:27:30+02:00;34.1325
Mu;2018-05-21T03:28:30+02:00;34.0844
Mu;2018-05-21T03:29:30+02:00;34.0233
Mu;2018-05-21T03:30:30+02:00;33.9542
Mu;2018-05-21T03:31:30+02:00;33.9028
