Series;Time;Value
Mu;2018-08-05T23:59:30+02:00;0.000338658
Mu;2018-08-06T00:00:30+02:00;0.00034512
Mu;2018-08-06T00:01:30+02:00;0.000357304
Mu;2018-08-06T00:02:30+02:00;0.000370293
Mu;2018-08-06T00:03:30+02:00;0.000381713
Mu;2018-08-06T00:04:30+02:00;0.000393209
Mu;2018-08-06T00:05:30+02:00;0.000405479
Mu;2018-08-06T00:06:30+02:00;0.000418222
Mu;2018-08-06T00:07:30+02:00;0.000431426
Mu;2018-08-06T00:08:30+02:00;0.000444514
Mu;2018-08-06T00:09:30+02:00;0.000458724
Mu;2018-08-06T00:10:30+02:00;0.000473527
Mu;2018-08-06T00:11:30+02:00;0.000488471
Mu;2018-08-06T00:12:30+02:00;0.00050602
Mu;2018-08-06T00:13:30+02:00;0.000527407
Mu;2018-08-06T00:14:30+02:00;0.000553725
Mu;2018-08-06T00:15:30+02:00;0.000575002
Mu;2018-08-06T00:16:30+02:00;0.000578304
Mu;2018-08-06T00:17:30+02:00;0.000573904
Mu;2018-08-06T00:18:30+02:00;0.00057097
Mu;2018-08-06T00:19:30+02:00;0.000569073
Mu;2018-08-06T00:20:30+02:00;0.000569035
Mu;2018-08-06T00:21:30+02:00;0.000571979
Mu;2018-08-06T00:22:30+02:00;0.000574219
Mu;2018-08-06T00:23:30+02:00;0.000577045
Mu;2018-08-06T00:24:30+02:00;0.000577425
Mu;2018-08-06T00:25:30+02:00;0.00057785
Mu;2018-08-06T00:26:30+02:00;0.000582379
Mu;2018-08-06T00:27:30+02:00;0.000589107
Mu;2018-08-06T00:28:30+02:00;0.000598398
Mu;2018-08-06T00:29:30+02:00;0.000620563
Mu;2018-08-06T00:30:30+02:00;0.000624273
Mu;2018-08-06T00:31:30+02:00;0.000609264
Mu;2018-08-06T00:32:30+02:00;0.0180777
Mu;2018-08-06T00:33:30+02:00;0.60101
Mu;2018-08-06T00:34:30+02:00;7.4453
Mu;2018-08-06T00:35:30+02:00;33.4219
Mu;2018-08-06T00:36:30+02:00;47.7571
Mu;2018-08-06T00:37:30+02:00;48.9512
Mu;2018-08-06T00:38:30+02:00;49.6222
Mu;2018-08-06T00:39:30+02:00;50.9307
Mu;2018-08-06T00:40:30+02:00;54.1138
Mu;2018-08-06T00:41:30+02:00;54.5452
Mu;2018-08-06T00:42:30+02:00;54.4218
Mu;2018-08-06T00:43:30+02:00;54.3735
Mu;2018-08-06T00:44:30+02:00;54.2952
Mu;2018-08-06T00:45:30+02:00;54.2238
Mu;2018-08-06T00:46:30+02:00;54.143
Mu;2018-08-06T00:47:30+02:00;54.0322
Mu;2018-08-06T00:48:30+02:00;53.8525
Mu;2018-08-06T00:49:30+02:00;53.5859
Mu;2018-08-06T00:50:30+02:00;53.2289
Mu;2018-08-06T00:51:30+02:00;52.8665
Mu;2018-08-06T00:52:30+02:00;51.9708
Mu;2018-08-06T00:53:30+02:00;50.1243
Mu;2018-08-06T00:54:30+02:00;43.9431
Mu;2018-08-06T00:55:30+02:00;25.6841
Mu;2018-08-06T00:56:30+02:00;38.7149
Mu;2018-08-06T00:57:30+02:00;19.2583
Mu;2018-08-06T00:58:30+02:00;20.0018
Mu;2018-08-06T00:59:30+02:00;35.2918
Mu;2018-08-06T01:00:30+02:00;20.3679
Mu;2018-08-06T01:01:30+02:00;41.2108
Mu;2018-08-06T01:02:30+02:00;52.1384
Mu;2018-08-06T01:03:30+02:00;53.2686
Mu;2018-08-06T01:04:30+02:00;53.3741
Mu;2018-08-06T01:05:30+02:00;53.3069
Mu;2018-08-06T01:06:30+02:00;53.159
Mu;2018-08-06T01:07:30+02:00;52.9849
Mu;2018-08-06T01:08:30+02:00;52.8477
Mu;2018-08-06T01:09:30+02:00;52.7633
Mu;2018-08-06T01:10:30+02:00;52.6804
Mu;2018-08-06T01:11:30+02:00;52.5753
Mu;2018-08-06T01:12:30+02:00;52.5195
Mu;2018-08-06T01:13:30+02:00;52.486
Mu;2018-08-06T01:14:30+02:00;52.3745
Mu;2018-08-06T01:15:30+02:00;52.2507
Mu;2018-08-06T01:16:30+02:00;52.163
Mu;2018-08-06T01:17:30+02:00;51.9639
