Series;Time;Value
Mu;2018-09-23T23:59:30+02:00;0.300301
Mu;2018-09-24T00:00:30+02:00;0.301943
Mu;2018-09-24T00:01:30+02:00;0.301504
Mu;2018-09-24T00:02:30+02:00;0.299791
Mu;2018-09-24T00:03:30+02:00;0.300147
Mu;2018-09-24T00:04:30+02:00;0.300651
Mu;2018-09-24T00:05:30+02:00;0.300254
Mu;2018-09-24T00:06:30+02:00;0.301053
Mu;2018-09-24T00:07:30+02:00;0.302066
Mu;2018-09-24T00:08:30+02:00;0.302567
Mu;2018-09-24T00:09:30+02:00;0.301107
Mu;2018-09-24T00:10:30+02:00;0.299477
Mu;2018-09-24T00:11:30+02:00;0.298794
Mu;2018-09-24T00:12:30+02:00;0.298591
Mu;2018-09-24T00:13:30+02:00;0.296856
Mu;2018-09-24T00:14:30+02:00;0.297809
Mu;2018-09-24T00:15:30+02:00;0.300544
Mu;2018-09-24T00:16:30+02:00;0.29903
Mu;2018-09-24T00:17:30+02:00;0.299684
Mu;2018-09-24T00:18:30+02:00;0.299138
Mu;2018-09-24T00:19:30+02:00;0.296673
Mu;2018-09-24T00:20:30+02:00;0.294627
Mu;2018-09-24T00:21:30+02:00;0.294798
Mu;2018-09-24T00:22:30+02:00;0.297934
Mu;2018-09-24T00:23:30+02:00;0.300128
Mu;2018-09-24T00:24:30+02:00;0.298319
Mu;2018-09-24T00:25:30+02:00;0.295997
Mu;2018-09-24T00:26:30+02:00;0.294836
Mu;2018-09-24T00:27:30+02:00;0.29527
Mu;2018-09-24T00:28:30+02:00;0.296645
Mu;2018-09-24T00:29:30+02:00;0.295432
Mu;2018-09-24T00:30:30+02:00;0.294471
Mu;2018-09-24T00:31:30+02:00;0.294082
Mu;2018-09-24T00:32:30+02:00;0.295405
Mu;2018-09-24T00:33:30+02:00;0.298298
Mu;2018-09-24T00:34:30+02:00;0.29679
Mu;2018-09-24T00:35:30+02:00;0.292887
Mu;2018-09-24T00:36:30+02:00;0.294679
Mu;2018-09-24T00:37:30+02:00;0.292434
Mu;2018-09-24T00:38:30+02:00;0.292514
Mu;2018-09-24T00:39:30+02:00;0.301303
Mu;2018-09-24T00:40:30+02:00;0.306338
Mu;2018-09-24T00:41:30+02:00;0.308295
Mu;2018-09-24T00:42:30+02:00;0.308465
Mu;2018-09-24T00:43:30+02:00;0.304993
Mu;2018-09-24T00:44:30+02:00;0.302777
Mu;2018-09-24T00:45:30+02:00;0.303669
Mu;2018-09-24T00:46:30+02:00;0.307812
Mu;2018-09-24T00:47:30+02:00;0.311345
Mu;2018-09-24T00:48:30+02:00;0.312692
Mu;2018-09-24T00:49:30+02:00;0.309441
Mu;2018-09-24T00:50:30+02:00;0.304078
Mu;2018-09-24T00:51:30+02:00;0.29825
Mu;2018-09-24T00:52:30+02:00;0.292743
Mu;2018-09-24T00:53:30+02:00;0.290656
Mu;2018-09-24T00:54:30+02:00;0.289852
Mu;2018-09-24T00:55:30+02:00;0.287818
Mu;2018-09-24T00:56:30+02:00;0.286938
Mu;2018-09-24T00:57:30+02:00;0.287482
Mu;2018-09-24T00:58:30+02:00;0.288724
Mu;2018-09-24T00:59:30+02:00;0.289181
Mu;2018-09-24T01:00:30+02:00;0.290006
Mu;2018-09-24T01:01:30+02:00;0.292253
Mu;2018-09-24T01:02:30+02:00;0.294135
Mu;2018-09-24T01:03:30+02:00;0.294445
Mu;2018-09-24T01:04:30+02:00;0.2996
Mu;2018-09-24T01:05:30+02:00;0.301304
Mu;2018-09-24T01:06:30+02:00;0.297745
Mu;2018-09-24T01:07:30+02:00;0.294587
Mu;2018-09-24T01:08:30+02:00;0.300243
Mu;2018-09-24T01:09:30+02:00;0.30334
Mu;2018-09-24T01:10:30+02:00;0.301262
Mu;2018-09-24T01:11:30+02:00;0.299544
Mu;2018-09-24T01:12:30+02:00;0.297956
Mu;2018-09-24T01:13:30+02:00;0.297519
Mu;2018-09-24T01:14:30+02:00;0.299035
Mu;2018-09-24T01:15:30+02:00;0.300892
Mu;2018-09-24T01:16:30+02:00;0.300082
Mu;2018-09-24T01:17:30+02:00;0.297874
Mu;2018-09-24T01:18:30+02:00;0.296138
Mu;2018-09-24T01:19:30+02:00;0.296103
Mu;2018-09-24T01:20:30+02:00;0.295387
Mu;2018-09-24T01:21:30+02:00;0.29183
Mu;2018-09-24T01:22:30+02:00;0.289149
Mu;2018-09-24T01:23:30+02:00;0.296545
Mu;2018-09-24T01:24:30+02:00;0.30398
Mu;2018-09-24T01:25:30+02:00;0.307779
Mu;2018-09-24T01:26:30+02:00;0.307637
Mu;2018-09-24T01:27:30+02:00;0.305962
Mu;2018-09-24T01:28:30+02:00;0.303858
Mu;2018-09-24T01:29:30+02:00;0.300767
Mu;2018-09-24T01:30:30+02:00;0.297908
Mu;2018-09-24T01:31:30+02:00;0.297387
Mu;2018-09-24T01:32:30+02:00;0.298097
Mu;2018-09-24T01:33:30+02:00;0.297707
Mu;2018-09-24T01:34:30+02:00;0.295505
Mu;2018-09-24T01:35:30+02:00;0.292636
Mu;2018-09-24T01:36:30+02:00;0.289377
Mu;2018-09-24T01:37:30+02:00;0.287437
Mu;2018-09-24T01:38:30+02:00;0.291675
Mu;2018-09-24T01:39:30+02:00;0.304077
Mu;2018-09-24T01:40:30+02:00;0.301104
Mu;2018-09-24T01:41:30+02:00;0.290322
Mu;2018-09-24T01:42:30+02:00;0.292995
