Series;Time;Value
Mu;2018-09-02T23:59:30+02:00;32.2164
Mu;2018-09-03T00:00:30+02:00;33.2359
Mu;2018-09-03T00:01:30+02:00;16.9057
Mu;2018-09-03T00:02:30+02:00;31.7701
Mu;2018-09-03T00:03:30+02:00;26.3956
Mu;2018-09-03T00:04:30+02:00;42.571
Mu;2018-09-03T00:05:30+02:00;53.9389
Mu;2018-09-03T00:06:30+02:00;55.1909
Mu;2018-09-03T00:07:30+02:00;55.0092
Mu;2018-09-03T00:08:30+02:00;54.9886
Mu;2018-09-03T00:09:30+02:00;55.0538
Mu;2018-09-03T00:10:30+02:00;54.8722
Mu;2018-09-03T00:11:30+02:00;54.6789
Mu;2018-09-03T00:12:30+02:00;54.5111
Mu;2018-09-03T00:13:30+02:00;54.4119
Mu;2018-09-03T00:14:30+02:00;54.3699
Mu;2018-09-03T00:15:30+02:00;54.3202
Mu;2018-09-03T00:16:30+02:00;54.1708
Mu;2018-09-03T00:17:30+02:00;54.0747
Mu;2018-09-03T00:18:30+02:00;53.9148
Mu;2018-09-03T00:19:30+02:00;53.7047
Mu;2018-09-03T00:20:30+02:00;53.6038
Mu;2018-09-03T00:21:30+02:00;53.5314
Mu;2018-09-03T00:22:30+02:00;53.4379
Mu;2018-09-03T00:23:30+02:00;53.3619
Mu;2018-09-03T00:24:30+02:00;53.2678
Mu;2018-09-03T00:25:30+02:00;53.1365
Mu;2018-09-03T00:26:30+02:00;52.9933
Mu;2018-09-03T00:27:30+02:00;52.8697
Mu;2018-09-03T00:28:30+02:00;52.7759
Mu;2018-09-03T00:29:30+02:00;52.7698
Mu;2018-09-03T00:30:30+02:00;52.6319
Mu;2018-09-03T00:31:30+02:00;52.4462
Mu;2018-09-03T00:32:30+02:00;52.2667
Mu;2018-09-03T00:33:30+02:00;52.0821
Mu;2018-09-03T00:34:30+02:00;51.88
Mu;2018-09-03T00:35:30+02:00;51.6986
Mu;2018-09-03T00:36:30+02:00;51.2042
Mu;2018-09-03T00:37:30+02:00;49.9541
Mu;2018-09-03T00:38:30+02:00;49.6795
Mu;2018-09-03T00:39:30+02:00;51.9475
Mu;2018-09-03T00:40:30+02:00;52.4396
Mu;2018-09-03T00:41:30+02:00;52.3518
Mu;2018-09-03T00:42:30+02:00;52.2399
Mu;2018-09-03T00:43:30+02:00;52.1982
Mu;2018-09-03T00:44:30+02:00;52.1919
Mu;2018-09-03T00:45:30+02:00;52.0911
Mu;2018-09-03T00:46:30+02:00;51.9645
Mu;2018-09-03T00:47:30+02:00;51.8459
Mu;2018-09-03T00:48:30+02:00;51.7362
Mu;2018-09-03T00:49:30+02:00;51.6129
Mu;2018-09-03T00:50:30+02:00;51.475
Mu;2018-09-03T00:51:30+02:00;51.3596
Mu;2018-09-03T00:52:30+02:00;51.2664
Mu;2018-09-03T00:53:30+02:00;51.1734
Mu;2018-09-03T00:54:30+02:00;51.0612
Mu;2018-09-03T00:55:30+02:00;50.9593
Mu;2018-09-03T00:56:30+02:00;50.9006
Mu;2018-09-03T00:57:30+02:00;50.8752
Mu;2018-09-03T00:58:30+02:00;50.8132
Mu;2018-09-03T00:59:30+02:00;50.6822
Mu;2018-09-03T01:00:30+02:00;50.5562
Mu;2018-09-03T01:01:30+02:00;50.4579
Mu;2018-09-03T01:02:30+02:00;50.3956
Mu;2018-09-03T01:03:30+02:00;50.3164
Mu;2018-09-03T01:04:30+02:00;50.1961
Mu;2018-09-03T01:05:30+02:00;50.107
Mu;2018-09-03T01:06:30+02:00;50.0232
